LSOA21CD,PM25-2013-min,PM25-2013-max,PM25-2013-mean,PM25-2013-std,PM25-2013-median,PM25-2016-min,PM25-2016-max,PM25-2016-mean,PM25-2016-std,PM25-2016-median,PM25-2019-min,PM25-2019-max,PM25-2019-mean,PM25-2019-std,PM25-2019-median,PM10-2013-min,PM10-2013-max,PM10-2013-mean,PM10-2013-std,PM10-2013-median,PM10-2016-min,PM10-2016-max,PM10-2016-mean,PM10-2016-std,PM10-2016-median,PM10-2019-min,PM10-2019-max,PM10-2019-mean,PM10-2019-std,PM10-2019-median,NOx-2013-min,NOx-2013-max,NOx-2013-mean,NOx-2013-std,NOx-2013-median,NOx-2016-min,NOx-2016-max,NOx-2016-mean,NOx-2016-std,NOx-2016-median,NOx-2019-min,NOx-2019-max,NOx-2019-mean,NOx-2019-std,NOx-2019-median,NO2-2013-min,NO2-2013-max,NO2-2013-mean,NO2-2013-std,NO2-2013-median,NO2-2016-min,NO2-2016-max,NO2-2016-mean,NO2-2016-std,NO2-2016-median,NO2-2019-min,NO2-2019-max,NO2-2019-mean,NO2-2019-std,NO2-2019-median
E01000001,17.645,23.13,18.628,1.043,18.19,15.14,38.534,16.275,2.804,15.407,12.721,20.29,13.538,1.572,13.001,27.29,40.915,29.602,2.529,28.499,25.136,85.981,27.823,7.135,25.503,21.401,43.266,23.783,4.297,22.331,74.74,368.453,116.488,46.721,96.488,88.004,1119.726,128.9,115.48,92.58,60.324,280.432,80.379,46.478,62.718,43.215,127.25,57.812,14.922,51.574,45.633,215.204,54.783,21.612,47.057,36.56,99.753,42.849,13.774,37.413
E01000002,17.574,20.011,17.895,0.418,17.777,15.079,27.277,15.584,1.473,15.265,12.688,20.162,13.058,0.908,12.879,27.136,32.269,27.884,0.957,27.595,24.988,53.434,26.113,3.468,25.276,21.6,42.033,22.696,2.531,22.205,72.606,191.722,86.478,17.184,81.608,87.382,511.24,103.693,51.553,91.147,59.658,271.6,67.701,26.47,61.477,42.382,80.745,47.683,6.433,45.854,45.41,135.877,49.559,11.764,46.513,36.269,95.861,38.842,7.779,36.952
E01000003,17.589,20.257,17.874,0.386,17.752,14.986,20.698,15.286,0.786,15.122,12.562,21.677,12.878,0.94,12.716,27.199,33.67,27.874,0.983,27.558,24.934,39.803,25.65,2.068,25.177,20.947,48.336,21.895,2.812,21.451,74.267,189.02,85.769,16.943,80.407,87.152,293.129,97.028,29.204,90.175,60.223,299.871,67.631,24.852,62.381,42.915,81.494,47.176,5.882,45.236,45.277,93.024,47.889,6.878,46.201,36.324,102.146,38.78,7.161,37.21
E01000005,17.588,30.743,18.449,1.449,17.928,14.831,34.406,15.958,2.468,15.143,12.406,22.884,13.408,1.425,12.986,27.253,59.832,29.724,3.799,28.398,24.78,83.626,27.72,7.396,25.118,20.569,61.689,23.963,4.975,22.484,76.567,893.091,132.11,89.434,101.741,84.059,1029.032,131.193,120.749,88.186,56.971,329.421,73.946,36.539,59.306,43.723,234.123,61.116,23.241,52.928,44.227,207.011,54.13,22.014,45.419,35.009,97.698,39.982,9.863,35.827
E01000006,15.629,15.954,15.773,0.067,15.775,12.864,13.174,12.978,0.061,12.98,10.431,11.604,10.605,0.101,10.599,24.327,25.023,24.577,0.147,24.568,21.266,22.095,21.524,0.165,21.508,15.846,18.664,16.258,0.26,16.222,46.913,57.438,51.315,2.19,51.291,54.121,62.589,56.692,1.646,56.567,37.461,61.593,40.265,2.399,39.843,31.127,34.916,32.585,0.773,32.558,32.77,35.47,33.606,0.526,33.562,25.608,34.197,26.619,0.793,26.487
E01000007,15.784,18.74,16.189,0.56,16.009,13.033,16.55,13.414,0.631,13.215,10.621,15.247,11.018,0.576,10.834,24.629,31.568,25.558,1.333,25.126,21.525,30.385,22.519,1.566,22.041,16.228,28.554,17.471,1.653,16.961,53.603,164.944,67.77,17.516,61.503,58.879,145.807,69.259,16.07,64.069,40.379,145.201,49.244,12.93,44.881,33.76,68.003,38.692,6.1,36.587,34.426,57.605,37.439,4.412,35.979,26.81,57.124,29.664,3.918,28.329
E01000008,15.749,23.671,16.195,0.825,15.943,13.025,19.761,13.462,0.783,13.221,10.668,21.77,11.356,1.097,11.002,24.642,47.754,25.873,2.28,25.224,21.545,42.577,22.815,2.289,22.143,16.438,53.606,18.818,3.56,17.738,52.994,333.414,69.024,28.781,59.926,59.108,277.201,72.902,24.593,65.305,41.438,259.456,56.578,23.04,49.291,33.822,120.43,39.927,9.81,36.811,34.513,84.056,38.562,6.195,36.569,27.244,83.009,32.13,6.559,30.028
E01000009,15.798,18.854,16.118,0.491,15.959,12.987,16.768,13.326,0.609,13.142,10.658,13.742,10.993,0.484,10.823,24.595,32.198,25.401,1.256,24.983,21.528,31.614,22.443,1.623,21.953,16.395,26.022,17.404,1.555,16.865,51.263,176.081,63.376,18.059,57.389,56.701,177.18,68.382,20.301,61.673,40.221,121.497,47.892,11.116,43.968,32.614,75.034,37.16,6.495,34.97,33.642,63.701,36.96,5.255,35.175,26.72,48.96,29.211,3.411,27.958
E01000011,15.715,17.451,15.954,0.293,15.884,12.947,15.085,13.186,0.321,13.122,10.552,12.251,10.721,0.163,10.693,24.477,29.077,25.069,0.799,24.871,21.379,27.724,22.062,0.965,21.865,16.055,21.177,16.61,0.604,16.489,48.646,127.238,58.718,13.349,55.665,56.461,155.016,65.481,14.945,61.707,38.343,72.411,41.448,3.402,40.839,31.862,59.367,35.499,4.789,34.306,33.588,57.896,36.139,3.824,35.212,26.116,37.402,27.152,1.117,26.958
E01000012,15.713,17.309,15.836,0.16,15.8,12.967,15.207,13.115,0.211,13.073,10.548,12.853,10.689,0.158,10.667,24.479,28.832,24.783,0.403,24.709,21.38,27.996,21.728,0.597,21.611,16.032,23.008,16.479,0.499,16.408,50.749,121.878,59.785,11.703,56.652,57.057,156.635,62.365,9.325,60.389,38.773,84.702,42.342,3.577,41.781,32.576,57.513,35.507,3.451,34.661,33.827,58.277,35.409,2.397,34.885,26.29,41.165,27.501,1.174,27.329
